name,status,signature,read_error
2019-10-23_08-49-40__bJaNz85mVNENgZtLfC0bysRTgnpP3oRYOMjBxEIx.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-23_19-57-39__XhpLz0XKb1VIndEQWDsZKU4GesyWi9ARz5JnUlbH.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-25_09-28-03__cEitbPlDSdSiNJefT3KJ1AYmqwg9DhVdf1nsimUI.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-26_11-23-54__oOxxG7N6MK1GLfzThhknYrbFJ8eaYx9fbzet325w.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-29_08-12-35__0iskVz3MCq5M62YzNtaxTYy9s5ex2MU5YpscyYm6.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-10-30_08-00-38__3BloOOtCJ9vq7OHTHS3amHskDq727AOQHKqCBofH.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-10-31_08-46-27__sLFB5nRFjcuKXaEoJhhyj4Ib4aHeKRNy6vJXaMbN.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-11-01_08-19-28__JGcCMNDK5ZGpqOYXWQKn8fHKeXHh1VYEP02aLKTQ.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-02_08-22-55__3mnzndacVDz8iIQMa1KXKuwUL6JsYvWk4hoRRwN5.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-06_08-18-51__FL0PIkVcUtdVNjv01Bng20lApcv5iGE4yKg0F5qC.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-11-07_07-51-28__OJhdaudK0bPK8nVQxvgwJxIT4ufKJkb1nz4V5QDb.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-07_19-17-04__S6fTrS8AP9QWu40RwxbuT6OFJV1N6KbkvlI4w2Eg.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-11-09_07-29-15__nAfQR3fMF1khFkb8DaYbecTmcpm8F9mr5fdA0ZsW.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-11_20-59-12__BPw0LWAyMTGbB8pFBp2a9m3a2phA326C8Q1Wgwdq.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-13_07-57-14__IXPqiBFdkK6IpEhVl5JFWrdiBbyQjoDRqnoZ48cs.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-14_07-57-21__4GMFqUtl0TLOUEeM9vgNEtlooK3bgGT2TWGlNJ1B.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-11-15_08-07-20__jZ3IPw77xf2Fc4qenBsP8khPURyN6gi3omNMoGMF.xlsx,ok,код | наименование товара | ед. | м.опт.цена | опт.цена,
2019-11-16_07-12-34__dobWnhpQfvwugraTJQtqxLXKxKfXFG7yO7k9F7et.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
2019-11-18_20-38-34__fe8ltlipl5NryusML7T5sClEIS0Dc6eVm9Ww5qg9.xlsx,outlier_signature,код | наименование товара | ед. | опт.цена,
